taxpayer_id,final_score,processing_stages
TP002751,0.0505,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.0505,
      ""timestamp"": ""2025-05-06T02:20:52.954619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0303,
      ""timestamp"": ""2025-05-06T02:20:52.954619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0101,
      ""timestamp"": ""2025-05-06T02:20:52.954619""
    }
  },
  ""audit_history"": []
}"
TP007488,0.1329,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1329,
      ""timestamp"": ""2025-05-06T02:20:52.954619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0798,
      ""timestamp"": ""2025-05-06T02:20:52.955618""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0266,
      ""timestamp"": ""2025-05-06T02:20:52.955618""
    }
  },
  ""audit_history"": []
}"
TP005273,0.282,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.282,
      ""timestamp"": ""2025-05-06T02:20:52.955618""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1692,
      ""timestamp"": ""2025-05-06T02:20:52.955618""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0564,
      ""timestamp"": ""2025-05-06T02:20:52.955618""
    }
  },
  ""audit_history"": []
}"
TP005654,0.3522,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3522,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2113,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0704,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    }
  },
  ""audit_history"": []
}"
TP004000,0.1812,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1812,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1087,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0362,
      ""timestamp"": ""2025-05-06T02:20:52.956620""
    }
  },
  ""audit_history"": []
}"
TP006034,0.1529,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1529,
      ""timestamp"": ""2025-05-06T02:20:52.957619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0918,
      ""timestamp"": ""2025-05-06T02:20:52.957619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0306,
      ""timestamp"": ""2025-05-06T02:20:52.957619""
    }
  },
  ""audit_history"": []
}"
TP000583,0.1843,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1843,
      ""timestamp"": ""2025-05-06T02:20:52.957619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1106,
      ""timestamp"": ""2025-05-06T02:20:52.957619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0369,
      ""timestamp"": ""2025-05-06T02:20:52.958619""
    }
  },
  ""audit_history"": []
}"
TP000931,0.1552,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1552,
      ""timestamp"": ""2025-05-06T02:20:52.958619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0931,
      ""timestamp"": ""2025-05-06T02:20:52.958619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.031,
      ""timestamp"": ""2025-05-06T02:20:52.958619""
    }
  },
  ""audit_history"": []
}"
TP007052,0.1775,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1775,
      ""timestamp"": ""2025-05-06T02:20:52.958619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1065,
      ""timestamp"": ""2025-05-06T02:20:52.959618""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0355,
      ""timestamp"": ""2025-05-06T02:20:52.959618""
    }
  },
  ""audit_history"": []
}"
TP008159,0.2108,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2108,
      ""timestamp"": ""2025-05-06T02:20:52.959618""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1265,
      ""timestamp"": ""2025-05-06T02:20:52.959618""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0422,
      ""timestamp"": ""2025-05-06T02:20:52.959618""
    }
  },
  ""audit_history"": []
}"
TP000897,0.0462,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.0462,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0277,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0092,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    }
  },
  ""audit_history"": []
}"
TP002250,0.1361,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1361,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0817,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0272,
      ""timestamp"": ""2025-05-06T02:20:52.960620""
    }
  },
  ""audit_history"": []
}"
TP004641,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.961620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.961620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.961620""
    }
  },
  ""audit_history"": []
}"
TP000486,0.0843,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.0843,
      ""timestamp"": ""2025-05-06T02:20:52.961620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0506,
      ""timestamp"": ""2025-05-06T02:20:52.961620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0169,
      ""timestamp"": ""2025-05-06T02:20:52.962620""
    }
  },
  ""audit_history"": []
}"
TP004948,0.1295,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1295,
      ""timestamp"": ""2025-05-06T02:20:52.962620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0777,
      ""timestamp"": ""2025-05-06T02:20:52.962620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0259,
      ""timestamp"": ""2025-05-06T02:20:52.962620""
    }
  },
  ""audit_history"": []
}"
TP000921,0.1888,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1888,
      ""timestamp"": ""2025-05-06T02:20:52.962620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1133,
      ""timestamp"": ""2025-05-06T02:20:52.963619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0378,
      ""timestamp"": ""2025-05-06T02:20:52.963619""
    }
  },
  ""audit_history"": []
}"
TP001964,0.3462,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3462,
      ""timestamp"": ""2025-05-06T02:20:52.963619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2077,
      ""timestamp"": ""2025-05-06T02:20:52.963619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0692,
      ""timestamp"": ""2025-05-06T02:20:52.963619""
    }
  },
  ""audit_history"": []
}"
TP008244,0.3977,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3977,
      ""timestamp"": ""2025-05-06T02:20:52.964619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2386,
      ""timestamp"": ""2025-05-06T02:20:52.964619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0795,
      ""timestamp"": ""2025-05-06T02:20:52.964619""
    }
  },
  ""audit_history"": []
}"
TP006591,0.2078,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2078,
      ""timestamp"": ""2025-05-06T02:20:52.964619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1247,
      ""timestamp"": ""2025-05-06T02:20:52.965620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0416,
      ""timestamp"": ""2025-05-06T02:20:52.965620""
    }
  },
  ""audit_history"": []
}"
TP008848,0.0974,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.0974,
      ""timestamp"": ""2025-05-06T02:20:52.965620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0584,
      ""timestamp"": ""2025-05-06T02:20:52.965620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0195,
      ""timestamp"": ""2025-05-06T02:20:52.965620""
    }
  },
  ""audit_history"": []
}"
TP000322,0.1333,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1333,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.08,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0267,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    }
  },
  ""audit_history"": []
}"
TP002679,0.1073,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1073,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0644,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0215,
      ""timestamp"": ""2025-05-06T02:20:52.966619""
    }
  },
  ""audit_history"": []
}"
TP004626,0.3389,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3389,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2033,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0678,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    }
  },
  ""audit_history"": []
}"
TP004950,0.0625,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.0625,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0375,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0125,
      ""timestamp"": ""2025-05-06T02:20:52.967620""
    }
  },
  ""audit_history"": []
}"
TP008329,0.1307,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1307,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0784,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0261,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    }
  },
  ""audit_history"": []
}"
TP003338,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.968620""
    }
  },
  ""audit_history"": []
}"
TP005590,0.2547,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2547,
      ""timestamp"": ""2025-05-06T02:20:52.969619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1528,
      ""timestamp"": ""2025-05-06T02:20:52.969619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0509,
      ""timestamp"": ""2025-05-06T02:20:52.969619""
    }
  },
  ""audit_history"": []
}"
TP000252,0.1477,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1477,
      ""timestamp"": ""2025-05-06T02:20:52.969619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0886,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0295,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    }
  },
  ""audit_history"": []
}"
TP003974,0.1502,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1502,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0901,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.03,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    }
  },
  ""audit_history"": []
}"
TP006631,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.970620""
    }
  },
  ""audit_history"": []
}"
TP005548,0.1012,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1012,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0607,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0202,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    }
  },
  ""audit_history"": []
}"
TP000036,0.067,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.067,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0402,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0134,
      ""timestamp"": ""2025-05-06T02:20:52.971619""
    }
  },
  ""audit_history"": []
}"
TP008363,0.1025,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1025,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0615,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0205,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    }
  },
  ""audit_history"": []
}"
TP001514,0.1117,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1117,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.067,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0223,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    }
  },
  ""audit_history"": []
}"
TP000318,0.4191,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.4191,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2515,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0838,
      ""timestamp"": ""2025-05-06T02:20:52.972624""
    }
  },
  ""audit_history"": []
}"
TP000040,0.4002,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.4002,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2401,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.08,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    }
  },
  ""audit_history"": []
}"
TP004820,0.1172,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1172,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0703,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0234,
      ""timestamp"": ""2025-05-06T02:20:52.973626""
    }
  },
  ""audit_history"": []
}"
TP003466,0.1239,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1239,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0743,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0248,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    }
  },
  ""audit_history"": []
}"
TP001761,0.2654,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2654,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1592,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0531,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    }
  },
  ""audit_history"": []
}"
TP002305,0.3982,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.3982,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.2389,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0796,
      ""timestamp"": ""2025-05-06T02:20:52.974632""
    }
  },
  ""audit_history"": []
}"
TP003724,0.2009,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2009,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1205,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0402,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    }
  },
  ""audit_history"": []
}"
TP008285,0.1155,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1155,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0693,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0231,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    }
  },
  ""audit_history"": []
}"
TP004994,0.2612,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.2612,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1567,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0522,
      ""timestamp"": ""2025-05-06T02:20:52.975630""
    }
  },
  ""audit_history"": []
}"
TP008128,0.277,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.277,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1662,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0554,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    }
  },
  ""audit_history"": []
}"
TP003033,0.1608,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1608,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.0965,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0322,
      ""timestamp"": ""2025-05-06T02:20:52.976628""
    }
  },
  ""audit_history"": []
}"
TP007939,0.5,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.5,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.3,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.1,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    }
  },
  ""audit_history"": []
}"
TP003040,0.1743,"{
  ""stages"": {
    ""pre-filing"": {
      ""status"": ""processed"",
      ""score"": 0.1743,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    },
    ""initial"": {
      ""status"": ""processed"",
      ""score"": 0.1046,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    },
    ""post-processing"": {
      ""status"": ""processed"",
      ""score"": 0.0349,
      ""timestamp"": ""2025-05-06T02:20:52.977629""
    }
  },
  ""audit_history"": []
}"
